review_id,user_id,product_id,review_text,rating,timestamp,label
0,0,0,review sample 0 with generic restaurant feedback text,3.0,2010-01-01 00:00:00,0
1,1,0,review sample 1 with generic restaurant feedback text,3.0,2010-01-01 01:00:00,0
2,2,0,review sample 2 with generic restaurant feedback text,3.0,2010-01-01 02:00:00,0
3,3,0,review sample 3 with generic restaurant feedback text,3.0,2010-01-01 03:00:00,0
4,4,0,review sample 4 with generic restaurant feedback text,3.0,2010-01-01 04:00:00,0
5,5,0,review sample 5 with generic restaurant feedback text,3.0,2010-01-01 05:00:00,0
6,6,0,review sample 6 with generic restaurant feedback text,3.0,2010-01-01 06:00:00,0
7,7,0,review sample 7 with generic restaurant feedback text,3.0,2010-01-01 07:00:00,0
8,8,0,review sample 8 with generic restaurant feedback text,3.0,2010-01-01 08:00:00,0
9,9,0,review sample 9 with generic restaurant feedback text,3.0,2010-01-01 09:00:00,0
10,10,0,review sample 10 with generic restaurant feedback text,3.0,2010-01-01 10:00:00,0
11,11,0,review sample 11 with generic restaurant feedback text,3.0,2010-01-01 11:00:00,0
12,12,0,review sample 12 with generic restaurant feedback text,3.0,2010-01-01 12:00:00,0
13,13,0,review sample 13 with generic restaurant feedback text,3.0,2010-01-01 13:00:00,0
14,14,0,review sample 14 with generic restaurant feedback text,3.0,2010-01-01 14:00:00,0
15,15,0,review sample 15 with generic restaurant feedback text,3.0,2010-01-01 15:00:00,0
16,16,0,review sample 16 with generic restaurant feedback text,3.0,2010-01-01 16:00:00,0
17,17,0,review sample 17 with generic restaurant feedback text,3.0,2010-01-01 17:00:00,0
18,18,0,review sample 18 with generic restaurant feedback text,3.0,2010-01-01 18:00:00,0
19,19,0,review sample 19 with generic restaurant feedback text,3.0,2010-01-01 19:00:00,0
20,20,0,review sample 20 with generic restaurant feedback text,3.0,2010-01-01 20:00:00,0
21,21,0,review sample 21 with generic restaurant feedback text,3.0,2010-01-01 21:00:00,0
22,22,0,review sample 22 with generic restaurant feedback text,3.0,2010-01-01 22:00:00,0
23,23,0,review sample 23 with generic restaurant feedback text,3.0,2010-01-01 23:00:00,0
24,24,0,review sample 24 with generic restaurant feedback text,3.0,2010-01-02 00:00:00,0
25,25,0,review sample 25 with generic restaurant feedback text,3.0,2010-01-02 01:00:00,0
26,26,0,review sample 26 with generic restaurant feedback text,3.0,2010-01-02 02:00:00,0
27,27,0,review sample 27 with generic restaurant feedback text,3.0,2010-01-02 03:00:00,0
28,28,0,review sample 28 with generic restaurant feedback text,3.0,2010-01-02 04:00:00,0
29,29,0,review sample 29 with generic restaurant feedback text,3.0,2010-01-02 05:00:00,0
30,30,0,review sample 30 with generic restaurant feedback text,3.0,2010-01-02 06:00:00,0
31,31,0,review sample 31 with generic restaurant feedback text,3.0,2010-01-02 07:00:00,0
32,32,0,review sample 32 with generic restaurant feedback text,3.0,2010-01-02 08:00:00,0
33,33,0,review sample 33 with generic restaurant feedback text,3.0,2010-01-02 09:00:00,0
34,34,0,review sample 34 with generic restaurant feedback text,3.0,2010-01-02 10:00:00,0
35,35,0,review sample 35 with generic restaurant feedback text,3.0,2010-01-02 11:00:00,0
36,36,0,review sample 36 with generic restaurant feedback text,3.0,2010-01-02 12:00:00,0
37,37,0,review sample 37 with generic restaurant feedback text,3.0,2010-01-02 13:00:00,0
38,38,0,review sample 38 with generic restaurant feedback text,3.0,2010-01-02 14:00:00,0
39,39,0,review sample 39 with generic restaurant feedback text,3.0,2010-01-02 15:00:00,0
40,40,0,review sample 40 with generic restaurant feedback text,3.0,2010-01-02 16:00:00,0
41,41,0,review sample 41 with generic restaurant feedback text,3.0,2010-01-02 17:00:00,0
42,42,0,review sample 42 with generic restaurant feedback text,3.0,2010-01-02 18:00:00,0
43,43,0,review sample 43 with generic restaurant feedback text,3.0,2010-01-02 19:00:00,0
44,44,0,review sample 44 with generic restaurant feedback text,3.0,2010-01-02 20:00:00,0
45,45,0,review sample 45 with generic restaurant feedback text,3.0,2010-01-02 21:00:00,0
46,46,0,review sample 46 with generic restaurant feedback text,3.0,2010-01-02 22:00:00,0
47,47,0,review sample 47 with generic restaurant feedback text,3.0,2010-01-02 23:00:00,0
48,48,0,review sample 48 with generic restaurant feedback text,3.0,2010-01-03 00:00:00,0
49,49,0,review sample 49 with generic restaurant feedback text,3.0,2010-01-03 01:00:00,0
50,50,0,review sample 50 with generic restaurant feedback text,3.0,2010-01-03 02:00:00,0
51,51,0,review sample 51 with generic restaurant feedback text,3.0,2010-01-03 03:00:00,0
52,52,0,review sample 52 with generic restaurant feedback text,3.0,2010-01-03 04:00:00,0
53,53,0,review sample 53 with generic restaurant feedback text,3.0,2010-01-03 05:00:00,0
54,54,0,review sample 54 with generic restaurant feedback text,3.0,2010-01-03 06:00:00,0
55,55,0,review sample 55 with generic restaurant feedback text,3.0,2010-01-03 07:00:00,0
56,56,0,review sample 56 with generic restaurant feedback text,3.0,2010-01-03 08:00:00,0
57,57,0,review sample 57 with generic restaurant feedback text,3.0,2010-01-03 09:00:00,0
