review_text,rating,label
review sample 0 with generic restaurant feedback text,3.0,0
review sample 1 with generic restaurant feedback text,3.0,0
review sample 2 with generic restaurant feedback text,3.0,0
review sample 3 with generic restaurant feedback text,3.0,0
review sample 4 with generic restaurant feedback text,3.0,0
review sample 5 with generic restaurant feedback text,3.0,0
review sample 6 with generic restaurant feedback text,3.0,0
review sample 7 with generic restaurant feedback text,3.0,0
review sample 8 with generic restaurant feedback text,3.0,0
review sample 9 with generic restaurant feedback text,3.0,0
review sample 10 with generic restaurant feedback text,3.0,0
review sample 11 with generic restaurant feedback text,3.0,0
review sample 12 with generic restaurant feedback text,3.0,0
review sample 13 with generic restaurant feedback text,3.0,0
review sample 14 with generic restaurant feedback text,3.0,0
review sample 15 with generic restaurant feedback text,3.0,0
review sample 16 with generic restaurant feedback text,3.0,0
review sample 17 with generic restaurant feedback text,3.0,0
review sample 18 with generic restaurant feedback text,3.0,0
review sample 19 with generic restaurant feedback text,3.0,0
review sample 20 with generic restaurant feedback text,3.0,0
review sample 21 with generic restaurant feedback text,3.0,0
review sample 22 with generic restaurant feedback text,3.0,0
review sample 23 with generic restaurant feedback text,3.0,0
review sample 24 with generic restaurant feedback text,3.0,0
review sample 25 with generic restaurant feedback text,3.0,0
review sample 26 with generic restaurant feedback text,3.0,0
review sample 27 with generic restaurant feedback text,3.0,0
review sample 28 with generic restaurant feedback text,3.0,0
review sample 29 with generic restaurant feedback text,3.0,0
review sample 30 with generic restaurant feedback text,3.0,0
review sample 31 with generic restaurant feedback text,3.0,0
review sample 32 with generic restaurant feedback text,3.0,0
review sample 33 with generic restaurant feedback text,3.0,0
review sample 34 with generic restaurant feedback text,3.0,0
review sample 35 with generic restaurant feedback text,3.0,0
review sample 36 with generic restaurant feedback text,3.0,0
review sample 37 with generic restaurant feedback text,3.0,0
review sample 38 with generic restaurant feedback text,3.0,0
review sample 39 with generic restaurant feedback text,3.0,0
review sample 40 with generic restaurant feedback text,3.0,0
review sample 41 with generic restaurant feedback text,3.0,0
review sample 42 with generic restaurant feedback text,3.0,0
review sample 43 with generic restaurant feedback text,3.0,0
review sample 44 with generic restaurant feedback text,3.0,0
review sample 45 with generic restaurant feedback text,3.0,0
review sample 46 with generic restaurant feedback text,3.0,0
review sample 47 with generic restaurant feedback text,3.0,0
review sample 48 with generic restaurant feedback text,3.0,0
review sample 49 with generic restaurant feedback text,3.0,0
review sample 50 with generic restaurant feedback text,3.0,0
review sample 51 with generic restaurant feedback text,3.0,0
review sample 52 with generic restaurant feedback text,3.0,0
review sample 53 with generic restaurant feedback text,3.0,0
review sample 54 with generic restaurant feedback text,3.0,0
review sample 55 with generic restaurant feedback text,3.0,0
review sample 56 with generic restaurant feedback text,3.0,0
review sample 57 with generic restaurant feedback text,3.0,0
review sample 58 with generic restaurant feedback text,3.0,0
review sample 59 with generic restaurant feedback text,3.0,0
review sample 60 with generic restaurant feedback text,3.0,0
review sample 61 with generic restaurant feedback text,3.0,0
review sample 62 with generic restaurant feedback text,3.0,0
review sample 63 with generic restaurant feedback text,3.0,0
review sample 64 with generic restaurant feedback text,3.0,0
